2.639999999999999858e+01,1.319999999999999929e+01,8.820000000000000284e+00,1.830000000000000071e+01,5.879999999999999716e+01,6.610000000000000320e+00,1.700000000000000000e+01,4.140000000000000000e+02,1.700000000000000000e+01,4.489999999999999858e+01,4.000000000000000000e+01
3.589999999999999858e+01,1.650000000000000000e+01,1.230000000000000071e+01,1.680000000000000071e+01,8.130000000000000782e+00,1.860000000000000142e+01,3.250000000000000000e+01,3.520000000000000000e+02,3.370000000000000107e+00,1.650000000000000000e+01,6.150000000000000000e+01
5.939999999999999858e+01,4.410000000000000142e+01,1.459999999999999964e+01,1.019999999999999929e+01,1.300000000000000000e+01,1.490000000000000036e+01,3.250000000000000000e+01,4.030000000000000000e+02,1.140000000000000036e+01,3.189999999999999858e+01,1.950000000000000000e+01
7.300000000000000000e+01,8.279999999999999716e+01,2.310000000000000142e+01,1.350000000000000000e+01,1.290000000000000036e+00,5.830000000000000071e+00,1.180000000000000071e+01,5.280000000000000000e+02,1.369999999999999929e+01,2.860000000000000142e+01,2.310000000000000142e+01
3.370000000000000284e+01,1.980000000000000071e+01,5.190000000000000391e+00,9.730000000000000426e+00,2.480000000000000071e+01,2.110000000000000142e+01,4.610000000000000142e+01,3.050000000000000000e+02,4.660000000000000142e+00,2.569999999999999929e+01,8.129999999999999716e+01
1.880000000000000071e+01,3.750000000000000000e+00,1.760000000000000142e+01,2.210000000000000142e+01,1.090000000000000036e+01,1.190000000000000036e+01,2.569999999999999929e+01,6.100000000000000000e+02,1.369999999999999929e+01,4.910000000000000142e+01,5.779999999999999716e+01
4.489999999999999858e+01,3.650000000000000000e+01,1.040000000000000036e+01,1.320000000000000000e+02,1.630000000000000071e+01,8.660000000000000142e+00,1.789999999999999858e+01,8.350000000000000000e+02,1.500000000000000000e+01,3.589999999999999858e+01,1.810000000000000142e+01
4.739999999999999858e+01,1.500000000000000000e+01,1.459999999999999964e+01,3.050000000000000000e+01,1.750000000000000000e+01,2.019999999999999929e+01,4.529999999999999716e+01,4.660000000000000000e+02,6.440000000000000391e+00,2.439999999999999858e+01,2.000000000000000000e+01
1.040000000000000000e+02,6.150000000000000000e+01,1.059999999999999964e+01,2.110000000000000142e+01,4.179999999999999716e+01,1.150000000000000000e+01,2.350000000000000000e+01,4.450000000000000000e+02,2.919999999999999929e+01,6.100000000000000000e+01,2.530000000000000071e+01
2.110000000000000142e+01,2.150000000000000000e+01,1.879999999999999893e+00,2.050000000000000000e+02,4.370000000000000284e+01,1.319999999999999929e+01,1.350000000000000000e+02,2.130000000000000000e+02,1.459999999999999964e+01,2.669999999999999929e+01,1.010000000000000000e+02
